layer,node,op,cycles,ops_useful,ops_issued,padding_efficiency,dram_bytes,intensity_ops_per_byte,achieved_gops,attainable_gops,pct_of_attainable,bound,mxu_mac_utilization,dwu_mac_utilization
0,conv2d#1,conv2d,159001,21676032,38535168,0.5625,533920,40.5979,136.3260,512.0000,26.6262,COMPUTE,0.2663,0
1,depthwise_conv2d#4,depthwise_conv2d,139814,8515584,9519104,0.8946,854432,9.9664,60.9065,159.4620,38.1950,MEMORY,0.0180,0.2019
2,conv2d#7,conv2d,118321,13877248,13877248,1,693504,20.0103,117.2850,320.1650,36.6326,MEMORY,0.2120,0.0341
3,conv2d#9,conv2d,287889,38535168,38535168,1,1414784,27.2375,133.8540,435.8000,30.7146,MEMORY,0.2614,0
4,depthwise_conv2d#12,depthwise_conv2d,164110,5763072,5763072,1,1575360,3.6583,35.1171,58.5321,59.9963,MEMORY,0.0041,0.1290
5,conv2d#15,conv2d,93750,15128064,19944960,0.7585,560064,27.0113,161.3660,432.1810,37.3376,MEMORY,0.3011,0.0282
6,conv2d#17,conv2d,132629,21676032,28901376,0.7500,519744,41.7052,163.4340,512.0000,31.9206,COMPUTE,0.3192,0
7,depthwise_conv2d#20,depthwise_conv2d,132192,8472576,8587264,0.9866,1012176,8.3706,64.0930,133.9300,47.8554,MEMORY,0.0051,0.2402
8,conv2d#23,conv2d,138958,22692096,29917440,0.7585,692900,32.7495,163.3020,512.0000,31.8949,COMPUTE,0.3047,0.0286
9,conv2d#29,conv2d,137758,21676032,28901376,0.7500,538560,40.2481,157.3490,512.0000,30.7322,COMPUTE,0.3073,0
10,depthwise_conv2d#32,depthwise_conv2d,62316,2376192,2490880,0.9540,587808,4.0425,38.1313,64.6794,58.9544,MEMORY,0.0108,0.1274
11,conv2d#35,conv2d,55956,8241408,8241408,1,412368,19.9856,147.2840,319.7690,46.0594,MEMORY,0.2522,0.0709
12,conv2d#37,conv2d,50659,9633792,9633792,1,234240,41.1279,190.1690,512.0000,37.1425,COMPUTE,0.3714,0
13,depthwise_conv2d#40,depthwise_conv2d,47552,3512320,3512320,1,356672,9.8475,73.8627,157.5600,46.8792,MEMORY,0.0330,0.2226
14,conv2d#43,conv2d,46210,10311168,10311168,1,265876,38.7819,223.1370,512.0000,43.5815,COMPUTE,0.4072,0.0573
15,conv2d#49,conv2d,54596,9633792,9633792,1,234240,41.1279,176.4560,512.0000,34.4641,COMPUTE,0.3446,0
16,depthwise_conv2d#52,depthwise_conv2d,47552,3512320,3512320,1,356672,9.8475,73.8627,157.5600,46.8792,MEMORY,0.0330,0.2226
17,conv2d#55,conv2d,46210,10311168,10311168,1,265876,38.7819,223.1370,512.0000,43.5815,COMPUTE,0.4072,0.0573
18,conv2d#61,conv2d,54596,9633792,9633792,1,234240,41.1279,176.4560,512.0000,34.4641,COMPUTE,0.3446,0
19,depthwise_conv2d#64,depthwise_conv2d,24253,1480192,1480192,1,203840,7.2615,61.0313,116.1850,52.5296,MEMORY,0.0647,0.1091
20,conv2d#67,conv2d,35070,5494272,5494272,1,244224,22.4969,156.6660,359.9500,43.5244,MEMORY,0.2683,0.0754
21,conv2d#69,conv2d,34730,9633792,9633792,1,129536,74.3715,277.3910,512.0000,54.1779,COMPUTE,0.5418,0
22,depthwise_conv2d#72,depthwise_conv2d,23861,1856512,1856512,1,187904,9.8801,77.8053,158.0820,49.2184,MEMORY,0.0411,0.2218
23,conv2d#75,conv2d,39232,10311168,10311168,1,199956,51.5672,262.8250,512.0000,51.3331,COMPUTE,0.4796,0.0674
24,conv2d#81,conv2d,36509,9633792,9633792,1,129536,74.3715,263.8740,512.0000,51.5380,COMPUTE,0.5154,0
25,depthwise_conv2d#84,depthwise_conv2d,23861,1856512,1856512,1,187904,9.8801,77.8053,158.0820,49.2184,MEMORY,0.0411,0.2218
26,conv2d#87,conv2d,39232,10311168,10311168,1,199956,51.5672,262.8250,512.0000,51.3331,COMPUTE,0.4796,0.0674
27,conv2d#93,conv2d,36509,9633792,9633792,1,129536,74.3715,263.8740,512.0000,51.5380,COMPUTE,0.5154,0
28,depthwise_conv2d#96,depthwise_conv2d,23861,1856512,1856512,1,187904,9.8801,77.8053,158.0820,49.2184,MEMORY,0.0411,0.2218
29,conv2d#99,conv2d,39232,10311168,10311168,1,199956,51.5672,262.8250,512.0000,51.3331,COMPUTE,0.4796,0.0674
30,conv2d#105,conv2d,36509,9633792,9633792,1,129536,74.3715,263.8740,512.0000,51.5380,COMPUTE,0.5154,0
31,depthwise_conv2d#108,depthwise_conv2d,23861,1856512,1856512,1,187904,9.8801,77.8053,158.0820,49.2184,MEMORY,0.0411,0.2218
32,conv2d#111,conv2d,49375,15128064,15128064,1,200064,75.6161,306.3910,512.0000,59.8420,COMPUTE,0.5716,0.0536
33,conv2d#113,conv2d,69145,21676032,21676032,1,240960,89.9570,313.4870,512.0000,61.2279,COMPUTE,0.6123,0
34,depthwise_conv2d#116,depthwise_conv2d,33597,2533888,2533888,1,272448,9.3004,75.4201,148.8070,50.6831,MEMORY,0.0292,0.2363
35,conv2d#119,conv2d,73118,22692096,22692096,1,318356,71.2790,310.3490,512.0000,60.6150,COMPUTE,0.5790,0.0543
36,conv2d#125,conv2d,71710,21676032,21676032,1,240960,89.9570,302.2730,512.0000,59.0378,COMPUTE,0.5904,0
37,depthwise_conv2d#128,depthwise_conv2d,33597,2533888,2533888,1,272448,9.3004,75.4201,148.8070,50.6831,MEMORY,0.0292,0.2363
38,conv2d#131,conv2d,73118,22692096,22692096,1,318356,71.2790,310.3490,512.0000,60.6150,COMPUTE,0.5790,0.0543
39,conv2d#137,conv2d,71710,21676032,21676032,1,240960,89.9570,302.2730,512.0000,59.0378,COMPUTE,0.5904,0
40,depthwise_conv2d#140,depthwise_conv2d,16854,1009792,1009792,1,153216,6.5906,59.9141,105.4500,56.8174,MEMORY,0.0581,0.1177
41,conv2d#143,conv2d,46976,9539712,9539712,1,303744,31.4071,203.0760,502.5130,40.4121,MEMORY,0.3755,0.0422
42,conv2d#145,conv2d,51317,15052800,15052800,1,212160,70.9502,293.3300,512.0000,57.2910,COMPUTE,0.5729,0
43,depthwise_conv2d#148,depthwise_conv2d,22599,997248,997248,1,211680,4.7111,44.1280,75.3778,58.5424,MEMORY,0.0130,0.1464
44,conv2d#151,conv2d,51605,15294720,15294720,1,257460,59.4062,296.3810,512.0000,57.8868,COMPUTE,0.5697,0.0183
45,conv2d#157,conv2d,52361,15052800,15052800,1,212160,70.9502,287.4810,512.0000,56.1487,COMPUTE,0.5615,0
46,depthwise_conv2d#160,depthwise_conv2d,22599,997248,997248,1,211680,4.7111,44.1280,75.3778,58.5424,MEMORY,0.0130,0.1464
47,conv2d#163,conv2d,51605,15294720,15294720,1,257460,59.4062,296.3810,512.0000,57.8868,COMPUTE,0.5697,0.0183
48,conv2d#169,conv2d,52361,15052800,15052800,1,212160,70.9502,287.4810,512.0000,56.1487,COMPUTE,0.5615,0
49,depthwise_conv2d#172,depthwise_conv2d,22599,997248,997248,1,211680,4.7111,44.1280,75.3778,58.5424,MEMORY,0.0130,0.1464
50,conv2d#175,conv2d,97723,30347520,30347520,1,460000,65.9729,310.5460,512.0000,60.6536,COMPUTE,0.6017,0.0097
51,conv2d#177,conv2d,123932,40140800,40140800,1,495520,81.0074,323.8940,512.0000,63.2605,COMPUTE,0.6326,0
52,fc#182,fully_connected,143425,2560000,2580480,0.9921,1330216,1.9245,17.8491,30.7920,57.9665,MEMORY,0.0349,0
